"2024-09-27 21:31:00 -0700","HKQuantityTypeIdentifierHeartRate","count/min","66"
"2024-09-27 21:37:55 -0700","HKQuantityTypeIdentifierHeartRate","count/min","63"
"2024-09-27 21:40:36 -0700","HKQuantityTypeIdentifierHeartRate","count/min","64"
"2024-09-27 21:46:25 -0700","HKQuantityTypeIdentifierHeartRate","count/min","66"
"2024-09-27 21:50:57 -0700","HKQuantityTypeIdentifierHeartRate","count/min","65"
"2024-09-27 21:56:51 -0700","HKQuantityTypeIdentifierHeartRate","count/min","66"
"2024-09-27 22:00:35 -0700","HKQuantityTypeIdentifierHeartRate","count/min","65"
"2024-09-27 22:05:50 -0700","HKQuantityTypeIdentifierHeartRate","count/min","65"
"2024-09-27 22:11:55 -0700","HKQuantityTypeIdentifierHeartRate","count/min","65"
"2024-09-27 22:19:44 -0700","HKQuantityTypeIdentifierHeartRate","count/min","64"
"2024-09-27 22:21:10 -0700","HKQuantityTypeIdentifierHeartRate","count/min","62"
"2024-09-27 22:25:51 -0700","HKQuantityTypeIdentifierHeartRate","count/min","64"
"2024-09-27 22:30:24 -0700","HKQuantityTypeIdentifierHeartRate","count/min","64"
"2024-09-27 22:35:46 -0700","HKQuantityTypeIdentifierHeartRate","count/min","64"
"2024-09-27 22:42:13 -0700","HKQuantityTypeIdentifierHeartRate","count/min","66"
"2024-09-27 22:48:43 -0700","HKQuantityTypeIdentifierHeartRate","count/min","63"
"2024-09-27 22:50:56 -0700","HKQuantityTypeIdentifierHeartRate","count/min","64"
"2024-09-27 22:55:43 -0700","HKQuantityTypeIdentifierHeartRate","count/min","63"
"2024-09-27 23:04:45 -0700","HKQuantityTypeIdentifierHeartRate","count/min","60"
"2024-09-27 23:09:30 -0700","HKQuantityTypeIdentifierHeartRate","count/min","63"
"2024-09-27 23:11:06 -0700","HKQuantityTypeIdentifierHeartRate","count/min","62"
"2024-09-27 23:17:24 -0700","HKQuantityTypeIdentifierHeartRate","count/min","64"
"2024-09-27 23:20:25 -0700","HKQuantityTypeIdentifierHeartRate","count/min","72"
"2024-09-27 23:25:16 -0700","HKQuantityTypeIdentifierHeartRate","count/min","72"
"2024-09-27 23:31:52 -0700","HKQuantityTypeIdentifierHeartRate","count/min","66"
"2024-09-27 23:35:39 -0700","HKQuantityTypeIdentifierHeartRate","count/min","64"
"2024-09-27 23:40:16 -0700","HKQuantityTypeIdentifierHeartRate","count/min","66"
"2024-09-27 23:46:20 -0700","HKQuantityTypeIdentifierHeartRate","count/min","67"
"2024-09-27 23:50:16 -0700","HKQuantityTypeIdentifierHeartRate","count/min","71"
"2024-09-27 23:56:22 -0700","HKQuantityTypeIdentifierHeartRate","count/min","70"
"2024-09-28 00:00:31 -0700","HKQuantityTypeIdentifierHeartRate","count/min","67"
"2024-09-28 00:05:36 -0700","HKQuantityTypeIdentifierHeartRate","count/min","63"
"2024-09-28 00:13:26 -0700","HKQuantityTypeIdentifierHeartRate","count/min","63"
"2024-09-28 00:15:30 -0700","HKQuantityTypeIdentifierHeartRate","count/min","63"
"2024-09-28 00:23:20 -0700","HKQuantityTypeIdentifierHeartRate","count/min","63"
"2024-09-28 00:25:56 -0700","HKQuantityTypeIdentifierHeartRate","count/min","64.4581"
"2024-09-28 00:27:29 -0700","HKQuantityTypeIdentifierHeartRate","count/min","67"
"2024-09-28 00:31:34 -0700","HKQuantityTypeIdentifierHeartRate","count/min","63"
"2024-09-28 00:36:44 -0700","HKQuantityTypeIdentifierHeartRate","count/min","68"
"2024-09-28 00:41:37 -0700","HKQuantityTypeIdentifierHeartRate","count/min","67"
"2024-09-28 00:45:14 -0700","HKQuantityTypeIdentifierHeartRate","count/min","69"
"2024-09-28 00:53:02 -0700","HKQuantityTypeIdentifierHeartRate","count/min","68"
"2024-09-28 00:55:15 -0700","HKQuantityTypeIdentifierHeartRate","count/min","70"
"2024-09-28 01:01:54 -0700","HKQuantityTypeIdentifierHeartRate","count/min","67"
"2024-09-28 01:06:54 -0700","HKQuantityTypeIdentifierHeartRate","count/min","69"
"2024-09-28 01:10:15 -0700","HKQuantityTypeIdentifierHeartRate","count/min","66"
"2024-09-28 01:15:19 -0700","HKQuantityTypeIdentifierHeartRate","count/min","69"
"2024-09-28 01:20:13 -0700","HKQuantityTypeIdentifierHeartRate","count/min","67"
"2024-09-28 01:25:48 -0700","HKQuantityTypeIdentifierHeartRate","count/min","67"
"2024-09-28 01:30:13 -0700","HKQuantityTypeIdentifierHeartRate","count/min","68"
"2024-09-28 01:35:13 -0700","HKQuantityTypeIdentifierHeartRate","count/min","68"
"2024-09-28 01:42:06 -0700","HKQuantityTypeIdentifierHeartRate","count/min","63"
"2024-09-28 01:49:33 -0700","HKQuantityTypeIdentifierHeartRate","count/min","58"
"2024-09-28 01:51:42 -0700","HKQuantityTypeIdentifierHeartRate","count/min","59"
"2024-09-28 01:55:16 -0700","HKQuantityTypeIdentifierHeartRate","count/min","61"
"2024-09-28 02:01:26 -0700","HKQuantityTypeIdentifierHeartRate","count/min","63"
"2024-09-28 02:09:25 -0700","HKQuantityTypeIdentifierHeartRate","count/min","59"
"2024-09-28 02:10:44 -0700","HKQuantityTypeIdentifierHeartRate","count/min","59"
"2024-09-28 02:16:33 -0700","HKQuantityTypeIdentifierHeartRate","count/min","60"
"2024-09-28 02:22:37 -0700","HKQuantityTypeIdentifierHeartRate","count/min","63"
"2024-09-28 02:26:01 -0700","HKQuantityTypeIdentifierHeartRate","count/min","58"
"2024-09-28 02:32:34 -0700","HKQuantityTypeIdentifierHeartRate","count/min","59"
"2024-09-28 02:37:49 -0700","HKQuantityTypeIdentifierHeartRate","count/min","63"
"2024-09-28 02:41:04 -0700","HKQuantityTypeIdentifierHeartRate","count/min","61"
"2024-09-28 02:50:08 -0700","HKQuantityTypeIdentifierHeartRate","count/min","52"
"2024-09-28 02:54:30 -0700","HKQuantityTypeIdentifierHeartRate","count/min","59"
"2024-09-28 02:58:23 -0700","HKQuantityTypeIdentifierHeartRate","count/min","59"
"2024-09-28 03:03:32 -0700","HKQuantityTypeIdentifierHeartRate","count/min","54"
"2024-09-28 03:08:11 -0700","HKQuantityTypeIdentifierHeartRate","count/min","55"
"2024-09-28 03:11:51 -0700","HKQuantityTypeIdentifierHeartRate","count/min","67"
"2024-09-28 03:16:49 -0700","HKQuantityTypeIdentifierHeartRate","count/min","64"
"2024-09-28 03:21:36 -0700","HKQuantityTypeIdentifierHeartRate","count/min","63"
"2024-09-28 03:25:23 -0700","HKQuantityTypeIdentifierHeartRate","count/min","63"
"2024-09-28 03:31:10 -0700","HKQuantityTypeIdentifierHeartRate","count/min","59"
"2024-09-28 03:36:03 -0700","HKQuantityTypeIdentifierHeartRate","count/min","59"
"2024-09-28 03:40:14 -0700","HKQuantityTypeIdentifierHeartRate","count/min","60"
"2024-09-28 03:47:36 -0700","HKQuantityTypeIdentifierHeartRate","count/min","63"
"2024-09-28 03:53:18 -0700","HKQuantityTypeIdentifierHeartRate","count/min","60"
"2024-09-28 03:58:39 -0700","HKQuantityTypeIdentifierHeartRate","count/min","63"
"2024-09-28 04:00:17 -0700","HKQuantityTypeIdentifierHeartRate","count/min","64"
"2024-09-28 04:05:15 -0700","HKQuantityTypeIdentifierHeartRate","count/min","63"
"2024-09-28 04:10:26 -0700","HKQuantityTypeIdentifierHeartRate","count/min","66"
"2024-09-28 04:17:43 -0700","HKQuantityTypeIdentifierHeartRate","count/min","60"
"2024-09-28 04:20:44 -0700","HKQuantityTypeIdentifierHeartRate","count/min","63"
"2024-09-28 04:26:31 -0700","HKQuantityTypeIdentifierHeartRate","count/min","62.0741"
"2024-09-28 04:29:45 -0700","HKQuantityTypeIdentifierHeartRate","count/min","63"
"2024-09-28 04:32:06 -0700","HKQuantityTypeIdentifierHeartRate","count/min","59"
"2024-09-28 04:38:49 -0700","HKQuantityTypeIdentifierHeartRate","count/min","63"
"2024-09-28 04:40:46 -0700","HKQuantityTypeIdentifierHeartRate","count/min","62"
"2024-09-28 04:50:09 -0700","HKQuantityTypeIdentifierHeartRate","count/min","64"
"2024-09-28 04:52:13 -0700","HKQuantityTypeIdentifierHeartRate","count/min","65"
"2024-09-28 04:59:01 -0700","HKQuantityTypeIdentifierHeartRate","count/min","68"
"2024-09-28 05:02:16 -0700","HKQuantityTypeIdentifierHeartRate","count/min","73"
"2024-09-28 05:05:18 -0700","HKQuantityTypeIdentifierHeartRate","count/min","57"
"2024-09-28 05:11:18 -0700","HKQuantityTypeIdentifierHeartRate","count/min","73"
"2024-09-28 05:17:39 -0700","HKQuantityTypeIdentifierHeartRate","count/min","83"
"2024-09-28 05:23:14 -0700","HKQuantityTypeIdentifierHeartRate","count/min","73"
"2024-09-28 05:30:07 -0700","HKQuantityTypeIdentifierHeartRate","count/min","70"
"2024-09-28 05:31:47 -0700","HKQuantityTypeIdentifierHeartRate","count/min","71"
"2024-09-28 05:36:51 -0700","HKQuantityTypeIdentifierHeartRate","count/min","69"
"2024-09-28 05:42:24 -0700","HKQuantityTypeIdentifierHeartRate","count/min","71"
"2024-09-28 05:46:44 -0700","HKQuantityTypeIdentifierHeartRate","count/min","69"
"2024-09-28 05:50:58 -0700","HKQuantityTypeIdentifierHeartRate","count/min","99"
"2024-09-28 05:55:17 -0700","HKQuantityTypeIdentifierHeartRate","count/min","91"
"2024-09-28 06:02:45 -0700","HKQuantityTypeIdentifierHeartRate","count/min","103"
"2024-09-28 06:10:18 -0700","HKQuantityTypeIdentifierHeartRate","count/min","98"
"2024-09-28 06:16:01 -0700","HKQuantityTypeIdentifierHeartRate","count/min","96"
"2024-09-28 06:29:18 -0700","HKQuantityTypeIdentifierHeartRate","count/min","82"
"2024-09-28 06:30:45 -0700","HKQuantityTypeIdentifierHeartRate","count/min","78"
"2024-09-28 06:35:19 -0700","HKQuantityTypeIdentifierHeartRate","count/min","89"
"2024-09-28 06:42:46 -0700","HKQuantityTypeIdentifierHeartRate","count/min","87"
"2024-09-28 06:50:49 -0700","HKQuantityTypeIdentifierHeartRate","count/min","97"
"2024-09-28 06:57:40 -0700","HKQuantityTypeIdentifierHeartRate","count/min","97"
"2024-09-28 06:57:46 -0700","HKQuantityTypeIdentifierHeartRate","count/min","100"
"2024-09-28 06:57:48 -0700","HKQuantityTypeIdentifierHeartRate","count/min","99"
"2024-09-28 06:57:56 -0700","HKQuantityTypeIdentifierHeartRate","count/min","97"
"2024-09-28 06:58:01 -0700","HKQuantityTypeIdentifierHeartRate","count/min","96"
"2024-09-28 06:58:02 -0700","HKQuantityTypeIdentifierHeartRate","count/min","96"
"2024-09-28 06:58:08 -0700","HKQuantityTypeIdentifierHeartRate","count/min","90"
"2024-09-28 06:58:16 -0700","HKQuantityTypeIdentifierHeartRate","count/min","96"
"2024-09-28 06:58:18 -0700","HKQuantityTypeIdentifierHeartRate","count/min","96"
"2024-09-28 06:58:22 -0700","HKQuantityTypeIdentifierHeartRate","count/min","95"
"2024-09-28 06:58:31 -0700","HKQuantityTypeIdentifierHeartRate","count/min","93"
"2024-09-28 06:58:34 -0700","HKQuantityTypeIdentifierHeartRate","count/min","91"
"2024-09-28 06:58:37 -0700","HKQuantityTypeIdentifierHeartRate","count/min","91"
"2024-09-28 06:58:46 -0700","HKQuantityTypeIdentifierHeartRate","count/min","97"
"2024-09-28 06:58:50 -0700","HKQuantityTypeIdentifierHeartRate","count/min","94"
"2024-09-28 06:58:52 -0700","HKQuantityTypeIdentifierHeartRate","count/min","93"
"2024-09-28 07:03:29 -0700","HKQuantityTypeIdentifierHeartRate","count/min","94"
"2024-09-28 07:08:56 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-09-28 17:19:44 -0700","HKQuantityTypeIdentifierHeartRate","count/min","119"
"2024-09-28 17:24:09 -0700","HKQuantityTypeIdentifierHeartRate","count/min","92.8874"
"2024-09-28 17:24:42 -0700","HKQuantityTypeIdentifierHeartRate","count/min","90"
"2024-09-28 17:27:13 -0700","HKQuantityTypeIdentifierHeartRate","count/min","74"
"2024-09-28 17:35:12 -0700","HKQuantityTypeIdentifierHeartRate","count/min","81"
"2024-09-28 17:39:41 -0700","HKQuantityTypeIdentifierHeartRate","count/min","80"
"2024-09-28 17:49:59 -0700","HKQuantityTypeIdentifierHeartRate","count/min","96"
"2024-09-28 18:03:05 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-09-28 18:03:30 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-09-28 18:03:40 -0700","HKQuantityTypeIdentifierHeartRate","count/min","117"
"2024-09-28 18:03:45 -0700","HKQuantityTypeIdentifierHeartRate","count/min","118"
"2024-09-28 18:03:49 -0700","HKQuantityTypeIdentifierHeartRate","count/min","118"
"2024-09-28 18:03:55 -0700","HKQuantityTypeIdentifierHeartRate","count/min","130"
"2024-09-28 18:03:58 -0700","HKQuantityTypeIdentifierHeartRate","count/min","129"
"2024-09-28 18:04:01 -0700","HKQuantityTypeIdentifierHeartRate","count/min","128"
"2024-09-28 18:04:08 -0700","HKQuantityTypeIdentifierHeartRate","count/min","128"
"2024-09-28 18:04:33 -0700","HKQuantityTypeIdentifierHeartRate","count/min","111"
"2024-09-28 18:04:36 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-09-28 18:04:41 -0700","HKQuantityTypeIdentifierHeartRate","count/min","113"
"2024-09-28 18:04:50 -0700","HKQuantityTypeIdentifierHeartRate","count/min","112"
"2024-09-28 18:04:55 -0700","HKQuantityTypeIdentifierHeartRate","count/min","112"
"2024-09-28 18:04:56 -0700","HKQuantityTypeIdentifierHeartRate","count/min","113"
"2024-09-28 18:05:10 -0700","HKQuantityTypeIdentifierHeartRate","count/min","120"
"2024-09-28 18:05:13 -0700","HKQuantityTypeIdentifierHeartRate","count/min","121"
"2024-09-28 18:05:25 -0700","HKQuantityTypeIdentifierHeartRate","count/min","126"
"2024-09-28 18:05:30 -0700","HKQuantityTypeIdentifierHeartRate","count/min","127"
"2024-09-28 18:05:31 -0700","HKQuantityTypeIdentifierHeartRate","count/min","127"
"2024-09-28 18:05:40 -0700","HKQuantityTypeIdentifierHeartRate","count/min","134"
"2024-09-28 18:05:45 -0700","HKQuantityTypeIdentifierHeartRate","count/min","132"
"2024-09-28 18:05:50 -0700","HKQuantityTypeIdentifierHeartRate","count/min","126"
"2024-09-28 18:05:52 -0700","HKQuantityTypeIdentifierHeartRate","count/min","127"
"2024-09-28 18:06:00 -0700","HKQuantityTypeIdentifierHeartRate","count/min","119"
"2024-09-28 18:06:02 -0700","HKQuantityTypeIdentifierHeartRate","count/min","117"
"2024-09-28 18:06:06 -0700","HKQuantityTypeIdentifierHeartRate","count/min","109"
"2024-09-28 18:06:11 -0700","HKQuantityTypeIdentifierHeartRate","count/min","105"
"2024-09-28 18:06:19 -0700","HKQuantityTypeIdentifierHeartRate","count/min","112"
"2024-09-28 18:06:21 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-09-28 18:06:26 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-09-28 18:06:31 -0700","HKQuantityTypeIdentifierHeartRate","count/min","117"
"2024-09-28 18:08:08 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-09-28 18:08:11 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-09-28 18:08:14 -0700","HKQuantityTypeIdentifierHeartRate","count/min","112"
"2024-09-28 18:08:23 -0700","HKQuantityTypeIdentifierHeartRate","count/min","111"
"2024-09-28 18:08:28 -0700","HKQuantityTypeIdentifierHeartRate","count/min","116"
"2024-09-28 18:08:31 -0700","HKQuantityTypeIdentifierHeartRate","count/min","116"
"2024-09-28 18:08:37 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-09-28 18:08:42 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-09-28 18:08:47 -0700","HKQuantityTypeIdentifierHeartRate","count/min","108"
"2024-09-28 18:08:53 -0700","HKQuantityTypeIdentifierHeartRate","count/min","109"
"2024-09-28 18:08:55 -0700","HKQuantityTypeIdentifierHeartRate","count/min","111"
"2024-09-28 18:08:59 -0700","HKQuantityTypeIdentifierHeartRate","count/min","106"
"2024-09-28 18:09:05 -0700","HKQuantityTypeIdentifierHeartRate","count/min","106"
"2024-09-28 18:09:13 -0700","HKQuantityTypeIdentifierHeartRate","count/min","105"
"2024-09-28 18:11:15 -0700","HKQuantityTypeIdentifierHeartRate","count/min","97"
"2024-09-28 18:18:58 -0700","HKQuantityTypeIdentifierHeartRate","count/min","114"
"2024-09-28 18:19:03 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-09-28 18:19:09 -0700","HKQuantityTypeIdentifierHeartRate","count/min","116"
"2024-09-28 18:19:11 -0700","HKQuantityTypeIdentifierHeartRate","count/min","127"
"2024-09-28 18:19:19 -0700","HKQuantityTypeIdentifierHeartRate","count/min","132"
"2024-09-28 18:19:25 -0700","HKQuantityTypeIdentifierHeartRate","count/min","132"
"2024-09-28 18:19:26 -0700","HKQuantityTypeIdentifierHeartRate","count/min","131"
"2024-09-28 18:19:31 -0700","HKQuantityTypeIdentifierHeartRate","count/min","129"
"2024-09-28 18:19:39 -0700","HKQuantityTypeIdentifierHeartRate","count/min","126"
"2024-09-28 18:19:45 -0700","HKQuantityTypeIdentifierHeartRate","count/min","121"
"2024-09-28 18:19:46 -0700","HKQuantityTypeIdentifierHeartRate","count/min","121"
"2024-09-28 18:19:52 -0700","HKQuantityTypeIdentifierHeartRate","count/min","122"
"2024-09-28 18:19:57 -0700","HKQuantityTypeIdentifierHeartRate","count/min","122"
"2024-09-28 18:20:01 -0700","HKQuantityTypeIdentifierHeartRate","count/min","123"
"2024-09-28 18:20:08 -0700","HKQuantityTypeIdentifierHeartRate","count/min","126"
"2024-09-28 18:20:11 -0700","HKQuantityTypeIdentifierHeartRate","count/min","125"
"2024-09-28 18:20:19 -0700","HKQuantityTypeIdentifierHeartRate","count/min","126"
"2024-09-28 18:20:21 -0700","HKQuantityTypeIdentifierHeartRate","count/min","127"
"2024-09-28 18:20:26 -0700","HKQuantityTypeIdentifierHeartRate","count/min","125"
"2024-09-28 18:20:31 -0700","HKQuantityTypeIdentifierHeartRate","count/min","124"
"2024-09-28 18:20:36 -0700","HKQuantityTypeIdentifierHeartRate","count/min","125"
"2024-09-28 18:20:43 -0700","HKQuantityTypeIdentifierHeartRate","count/min","128"
"2024-09-28 18:20:50 -0700","HKQuantityTypeIdentifierHeartRate","count/min","130"
"2024-09-28 18:20:51 -0700","HKQuantityTypeIdentifierHeartRate","count/min","129"
"2024-09-28 18:20:56 -0700","HKQuantityTypeIdentifierHeartRate","count/min","131"
"2024-09-28 18:21:01 -0700","HKQuantityTypeIdentifierHeartRate","count/min","128"
"2024-09-28 18:21:08 -0700","HKQuantityTypeIdentifierHeartRate","count/min","130"
"2024-09-28 18:21:11 -0700","HKQuantityTypeIdentifierHeartRate","count/min","128"
"2024-09-28 18:21:20 -0700","HKQuantityTypeIdentifierHeartRate","count/min","130"
"2024-09-28 18:21:25 -0700","HKQuantityTypeIdentifierHeartRate","count/min","130"
"2024-09-28 18:21:30 -0700","HKQuantityTypeIdentifierHeartRate","count/min","133"
"2024-09-28 18:21:35 -0700","HKQuantityTypeIdentifierHeartRate","count/min","132"
"2024-09-28 18:21:38 -0700","HKQuantityTypeIdentifierHeartRate","count/min","131"
"2024-09-28 18:21:44 -0700","HKQuantityTypeIdentifierHeartRate","count/min","129"
"2024-09-28 18:21:49 -0700","HKQuantityTypeIdentifierHeartRate","count/min","130"
"2024-09-28 18:21:51 -0700","HKQuantityTypeIdentifierHeartRate","count/min","130"
"2024-09-28 18:21:56 -0700","HKQuantityTypeIdentifierHeartRate","count/min","131"
"2024-09-28 18:22:02 -0700","HKQuantityTypeIdentifierHeartRate","count/min","130"
"2024-09-28 18:22:08 -0700","HKQuantityTypeIdentifierHeartRate","count/min","135"
"2024-09-28 18:22:13 -0700","HKQuantityTypeIdentifierHeartRate","count/min","135"
"2024-09-28 18:22:16 -0700","HKQuantityTypeIdentifierHeartRate","count/min","134"
"2024-09-28 18:22:21 -0700","HKQuantityTypeIdentifierHeartRate","count/min","131"
"2024-09-28 18:22:26 -0700","HKQuantityTypeIdentifierHeartRate","count/min","130"
"2024-09-28 18:22:32 -0700","HKQuantityTypeIdentifierHeartRate","count/min","124"
"2024-09-28 18:22:36 -0700","HKQuantityTypeIdentifierHeartRate","count/min","116"
"2024-09-28 18:22:42 -0700","HKQuantityTypeIdentifierHeartRate","count/min","115"
"2024-09-28 18:22:50 -0700","HKQuantityTypeIdentifierHeartRate","count/min","117"
"2024-09-28 18:22:55 -0700","HKQuantityTypeIdentifierHeartRate","count/min","120"
"2024-09-28 18:23:00 -0700","HKQuantityTypeIdentifierHeartRate","count/min","122"
"2024-09-28 18:23:01 -0700","HKQuantityTypeIdentifierHeartRate","count/min","121"
"2024-09-28 18:23:10 -0700","HKQuantityTypeIdentifierHeartRate","count/min","118"
"2024-09-28 18:23:12 -0700","HKQuantityTypeIdentifierHeartRate","count/min","113"
"2024-09-28 18:23:21 -0700","HKQuantityTypeIdentifierHeartRate","count/min","104"
"2024-09-28 18:23:24 -0700","HKQuantityTypeIdentifierHeartRate","count/min","105"
"2024-09-28 18:23:27 -0700","HKQuantityTypeIdentifierHeartRate","count/min","106"
"2024-09-28 18:23:36 -0700","HKQuantityTypeIdentifierHeartRate","count/min","112"
"2024-09-28 18:23:39 -0700","HKQuantityTypeIdentifierHeartRate","count/min","111"
"2024-09-28 18:23:42 -0700","HKQuantityTypeIdentifierHeartRate","count/min","108"
"2024-09-28 18:23:47 -0700","HKQuantityTypeIdentifierHeartRate","count/min","110"
"2024-09-28 18:24:13 -0700","HKQuantityTypeIdentifierHeartRate","count/min","86"
"2024-09-28 18:26:02 -0700","HKQuantityTypeIdentifierHeartRate","count/min","105"
"2024-09-28 18:32:16 -0700","HKQuantityTypeIdentifierHeartRate","count/min","95"
"2024-09-28 18:36:28 -0700","HKQuantityTypeIdentifierHeartRate","count/min","91"
"2024-09-28 18:43:43 -0700","HKQuantityTypeIdentifierHeartRate","count/min","98"
"2024-09-28 18:49:39 -0700","HKQuantityTypeIdentifierHeartRate","count/min","90"
"2024-09-28 18:52:04 -0700","HKQuantityTypeIdentifierHeartRate","count/min","93"
"2024-09-28 18:57:20 -0700","HKQuantityTypeIdentifierHeartRate","count/min","94"
"2024-09-28 19:03:12 -0700","HKQuantityTypeIdentifierHeartRate","count/min","80"
"2024-09-28 19:10:11 -0700","HKQuantityTypeIdentifierHeartRate","count/min","98"
"2024-09-28 19:14:42 -0700","HKQuantityTypeIdentifierHeartRate","count/min","91"
"2024-09-28 19:15:47 -0700","HKQuantityTypeIdentifierHeartRate","count/min","89"
"2024-09-28 19:21:08 -0700","HKQuantityTypeIdentifierHeartRate","count/min","93"
"2024-09-28 19:28:53 -0700","HKQuantityTypeIdentifierHeartRate","count/min","99"
"2024-09-28 19:30:54 -0700","HKQuantityTypeIdentifierHeartRate","count/min","99"
"2024-09-28 19:35:47 -0700","HKQuantityTypeIdentifierHeartRate","count/min","99"
"2024-09-28 19:48:25 -0700","HKQuantityTypeIdentifierHeartRate","count/min","100"
"2024-09-28 19:50:35 -0700","HKQuantityTypeIdentifierHeartRate","count/min","104"
"2024-09-28 19:59:33 -0700","HKQuantityTypeIdentifierHeartRate","count/min","103"
"2024-09-28 20:00:54 -0700","HKQuantityTypeIdentifierHeartRate","count/min","110"
"2024-09-28 20:06:40 -0700","HKQuantityTypeIdentifierHeartRate","count/min","118"
"2024-09-28 20:14:55 -0700","HKQuantityTypeIdentifierHeartRate","count/min","113"
"2024-09-28 20:20:12 -0700","HKQuantityTypeIdentifierHeartRate","count/min","121"
"2024-09-28 20:15:57 -0700","HKQuantityTypeIdentifierHeartRate","count/min","109"
"2024-09-28 20:24:54 -0700","HKQuantityTypeIdentifierHeartRate","count/min","103"
